"Fluent","Designer","practice_1","practice_2","practice_3","practice_4","practice_5","practice_6","practice_7","practice_8","practice_9","practice_10","practice_11","practice_12","practice_13","practice_14","practice_15","practice_16","practice_17","practice_18","main_1","main_2","main_3","main_4","main_5","main_6","main_7","main_8","main_9","main_10","main_11","main_12","main_13","main_14","main_15","main_16","main_17","main_18","main_19","main_20","main_21","main_22","main_23","main_24","main_25","main_26","main_27","main_28","main_29","main_30","main_31","main_32","main_33","main_34","main_35","main_36","Reader","main_37","main_38","main_39","main_40","main_41","main_42","main_43","main_44","main_45","main_46","main_47","main_48","main_49","main_50","main_51","main_52","main_53","main_54","main_55","main_56","main_57","main_58","main_59","main_60","main_61","main_62","main_63","main_64","main_65","main_66","main_67","main_68","main_69","main_70","main_71","main_72","practice_19","practice_20","submissionDate"
"","Non-designer","d_BC,d_AD,false, Probably different, 800, 12339","u_DD,u_AA,false, Sure different, 800, 4533","d_DD,d_AA,false, Sure different, 800, 5877","d_AA,d_AA,true, Probably different, 725, 20438","i_AA,i_DD,false, Sure different, 650, 6636","d_AD,d_BC,false, Probably same, 575, 3778","i_BD,i_AD,false, Sure different, 500, 3371","d_BD,d_AD,false, Probably same, 425, 3579","u_AD,u_AB,true, Probably same, 350, 4267","d_AB,d_AD,true, Probably same, 275, 13010","u_BC,u_AD,false, Probably different, 200, 2915","u_AA,u_AA,true, Probably same, 200, 2645","i_BC,i_AD,false, Sure different, 275, 2732","i_AD,i_AB,true, Sure same, 350, 2853","u_AD,u_AD,true, Probably same, 425, 3471","u_DD,u_AA,false, Sure different, 500, 3531","d_AD,d_AD,true, Sure same, 575, 3851","i_AA,i_AA,true, Sure same, 650, 3955","b_AB,b_AD,true, Probably same, 266.7, 5783","z_AB,z_AD,true, Probably same, 266.7, 3088","j_AD,j_AD,true, Probably same, 266.7, 2881","r_AD,r_AD,true, Probably same, 266.7, 2814","h_AD,h_BC,false, Probably same, 266.7, 2583","p_DD,p_AA,false, Sure different, 266.7, 2760","n_AA,n_AA,true, Probably different, 266.7, 3486","p_AA,p_AA,true, Probably same, 266.7, 3312","e_DD,e_AA,false, Sure different, 266.7, 2777","n_AB,n_AD,true, Probably different, 266.7, 2975","h_AD,h_AB,true, Sure same, 266.7, 3062","z_AA,z_AA,true, Sure same, 266.7, 2980","n_DD,n_AA,false, Probably different, 266.7, 3163","h_AA,h_AA,true, Sure same, 266.7, 2928","c_DD,c_AA,false, Sure different, 266.7, 3315","z_AD,z_AD,true, Sure same, 266.7, 2859","c_BC,c_AD,false, Sure different, 266.7, 3169","b_AD,b_BC,false, Probably same, 266.7, 2892","n_AD,n_BD,false, Probably same, 266.7, 2647","n_AD,n_AD,true, Sure same, 266.7, 2838","j_AA,j_AA,true, Probably same, 266.7, 4666","z_BD,z_AD,false, Sure different, 266.7, 2854","r_AD,r_BC,false, Sure different, 266.7, 3324","j_AD,j_AB,true, Sure different, 266.7, 3316","a_AA,a_AA,true, Probably different, 266.7, 3510","h_AD,h_AD,true, Sure same, 266.7, 2970","q_AA,q_AA,true, Probably same, 266.7, 4043","e_BD,e_AD,false, Probably same, 266.7, 3360","p_AB,p_AD,true, Probably different, 266.7, 3164","j_BD,j_AD,false, Sure different, 266.7, 2834","j_AA,j_DD,false, Sure different, 266.7, 2758","q_DD,q_AA,false, Sure different, 266.7, 2988","c_AB,c_AD,true, Sure different, 266.7, 3248","p_BD,p_AD,false, Sure different, 266.7, 2748","b_AD,b_AD,true, Probably same, 266.7, 3996","z_BC,z_AD,false, Sure different, 266.7, 2598","","h_AD,h_BD,false, Sure different, 266.7, 3343","n_BC,n_AD,false, Sure different, 266.7, 2781","t_AD,t_AD,true, Probably same, 266.7, 3096","q_AD,q_AB,true, Probably same, 266.7, 3976","c_BD,c_AD,false, Sure different, 266.7, 2932","e_AD,e_AD,true, Probably same, 266.7, 3202","a_AB,a_AD,true, Probably same, 266.7, 4048","e_AD,e_AB,true, Probably different, 266.7, 3286","p_AD,p_AD,true, Probably same, 266.7, 3265","b_AA,b_AA,true, Probably same, 266.7, 2727","t_BC,t_AD,false, Probably different, 266.7, 2736","e_AA,e_AA,true, Sure same, 266.7, 3376","c_AD,c_AD,true, Probably same, 266.7, 3069","b_AA,b_DD,false, Probably different, 266.7, 3118","r_AA,r_AA,true, Probably same, 266.7, 3045","a_DD,a_AA,false, Sure different, 266.7, 3082","r_AA,r_DD,false, Sure different, 266.7, 2782","a_AD,a_AD,true, Sure same, 266.7, 2845","a_AD,a_BC,false, Sure same, 266.7, 2719","a_AD,a_BD,false, Sure same, 266.7, 2666","e_BC,e_AD,false, Sure same, 266.7, 2790","r_AB,r_AD,true, Sure same, 266.7, 2785","t_DD,t_AA,false, Sure different, 266.7, 3068","c_AA,c_AA,true, Probably same, 266.7, 3376","t_AA,t_AA,true, Sure same, 266.7, 3025","p_AD,p_BC,false, Probably different, 266.7, 3830","h_AA,h_DD,false, Sure different, 266.7, 3216","j_BC,j_AD,false, Sure same, 266.7, 3737","q_BD,q_AD,false, Sure same, 266.7, 2639","q_AD,q_AD,true, Sure same, 266.7, 2700","b_AD,b_BD,false, Probably same, 266.7, 3458","q_AD,q_BC,false, Sure same, 266.7, 3016","t_AB,t_AD,true, Sure same, 266.7, 2631","t_AD,t_BD,false, Probably different, 266.7, 3423","r_AD,r_BD,false, Probably same, 266.7, 3531","z_DD,z_AA,false, Sure different, 266.7, 2853","u_AD,u_BD,false, Sure different, 725, 3572","i_AD,i_AD,true, Probably same, 800, 5839","2022-06-17 13:55:27"
"","Letter designer","d_BC,d_AD,false, Probably same, 800, 42379","u_DD,u_AA,false, Probably same, 800, 16660","d_DD,d_AA,false, Probably same, 800, 26370","d_AA,d_AA,true, Probably same, 725, 67781","i_AA,i_DD,false, Sure different, 650, 4878","d_BC,d_AD,false, Sure different, 575, 4701","i_BD,i_AD,false, Sure different, 500, 4188","d_AD,d_BD,false, Sure different, 425, 3555","u_AB,u_AD,true, Sure same, 350, 6431","d_AB,d_AD,true, Sure same, 275, 3382","u_AD,u_BC,false, Sure different, 200, 4080","u_AA,u_AA,true, Sure same, 200, 4835","i_BC,i_AD,false, Sure different, 275, 4319","i_AD,i_AB,true, Sure same, 350, 4090","u_AD,u_AD,true, Sure same, 425, 3511","u_DD,u_AA,false, Sure different, 500, 5112","d_AD,d_AD,true, Sure same, 575, 6065","i_AA,i_AA,true, Sure same, 650, 3952","p_AB,p_AD,true, Probably same, 188.9, 11905","c_AD,c_BD,false, Probably same, 188.9, 6470","q_AA,q_DD,false, Sure different, 188.9, 4052","a_BD,a_AD,false, Sure different, 188.9, 3769","r_BC,r_AD,false, Sure different, 188.9, 3307","t_BC,t_AD,false, Sure different, 188.9, 3094","e_AD,e_AB,true, Sure different, 188.9, 3174","z_BC,z_AD,false, Sure different, 188.9, 2923","r_AD,r_AD,true, Probably same, 188.9, 4775","e_AD,e_BC,false, Probably same, 188.9, 4187","r_AB,r_AD,true, Probably same, 188.9, 3270","q_AB,q_AD,true, Probably different, 188.9, 3699","j_AA,j_AA,true, Probably same, 188.9, 3173","n_AD,n_BD,false, Sure different, 188.9, 4120","p_BD,p_AD,false, Sure different, 188.9, 3112","q_BD,q_AD,false, Probably different, 188.9, 3440","p_BC,p_AD,false, Sure different, 188.9, 3391","n_BC,n_AD,false, Sure different, 188.9, 3232","r_AA,r_AA,true, Probably different, 188.9, 3112","n_AD,n_AB,true, Probably same, 188.9, 3535","a_BC,a_AD,false, Probably same, 188.9, 3291","t_AA,t_DD,false, Sure different, 188.9, 4751","b_AD,b_BC,false, Sure different, 188.9, 3004","e_AD,e_BD,false, Probably different, 188.9, 5801","b_DD,b_AA,false, Sure different, 188.9, 3361","h_AD,h_AD,true, Probably same, 188.9, 4882","z_AD,z_AB,true, Probably same, 188.9, 5372","z_AA,z_AA,true, Sure same, 188.9, 3251","z_BD,z_AD,false, Sure different, 188.9, 3318","r_AA,r_DD,false, Sure different, 188.9, 3028","j_AD,j_AB,true, Probably same, 188.9, 4395","c_AA,c_AA,true, Probably same, 188.9, 2876","b_AD,b_AD,true, Probably same, 188.9, 4453","c_DD,c_AA,false, Sure different, 188.9, 3084","q_AA,q_AA,true, Probably same, 188.9, 5183","e_AA,e_AA,true, Probably same, 188.9, 3920","","a_DD,a_AA,false, Sure different, 188.9, 3374","a_AD,a_AD,true, Probably same, 188.9, 4101","b_AD,b_BD,false, Sure different, 188.9, 2964","p_AD,p_AD,true, Probably same, 188.9, 4910","b_AA,b_AA,true, Probably same, 188.9, 4198","h_AD,h_AB,true, Sure same, 188.9, 4764","c_AD,c_AD,true, Sure same, 188.9, 3645","j_AD,j_AD,true, Probably same, 188.9, 9346","h_AA,h_AA,true, Sure same, 188.9, 3685","h_AD,h_BC,false, Sure different, 188.9, 3586","e_AA,e_DD,false, Sure different, 188.9, 3005","q_AD,q_AD,true, Sure same, 188.9, 3779","h_AD,h_BD,false, Sure different, 188.9, 4084","j_AA,j_DD,false, Sure different, 188.9, 2891","z_DD,z_AA,false, Sure different, 188.9, 2985","t_AA,t_AA,true, Sure same, 188.9, 3659","t_BD,t_AD,false, Probably same, 188.9, 4146","r_AD,r_BD,false, Sure different, 188.9, 4664","p_AA,p_AA,true, Probably same, 188.9, 3732","b_AB,b_AD,true, Probably same, 188.9, 3200","t_AD,t_AB,true, Probably same, 188.9, 5633","z_AD,z_AD,true, Probably same, 188.9, 3392","c_AD,c_AB,true, Sure same, 188.9, 3390","a_AA,a_AA,true, Sure same, 188.9, 2777","n_AD,n_AD,true, Sure same, 188.9, 2655","c_AD,c_BC,false, Probably same, 188.9, 3145","t_AD,t_AD,true, Probably same, 188.9, 4170","j_AD,j_BD,false, Sure different, 188.9, 3183","n_DD,n_AA,false, Sure different, 188.9, 2510","j_AD,j_BC,false, Sure different, 188.9, 2437","a_AD,a_AB,true, Probably different, 188.9, 3169","q_AD,q_BC,false, Probably same, 188.9, 4531","e_AD,e_AD,true, Probably same, 188.9, 4047","n_AA,n_AA,true, Sure same, 188.9, 3514","p_DD,p_AA,false, Sure same, 188.9, 3582","h_DD,h_AA,false, Sure different, 188.9, 3036","u_BD,u_AD,false, Sure different, 725, 4976","i_AD,i_AD,true, Sure same, 800, 4953","2022-06-17 13:23:00"
"","Graphic designer","d_BC,d_AD,false, Sure different, 800, 8670","u_DD,u_AA,false, Sure different, 800, 8579","d_DD,d_AA,false, Sure different, 800, 7366","d_AA,d_AA,true, Probably same, 725, 7434","i_AA,i_DD,false, Sure different, 650, 4499","d_AD,d_BC,false, Probably different, 575, 9817","i_AD,i_BD,false, Sure different, 500, 7382","d_BD,d_AD,false, Sure different, 425, 3484","u_AB,u_AD,true, Probably same, 350, 5833","d_AD,d_AB,true, Probably different, 275, 12361","u_BC,u_AD,false, Sure different, 200, 3181","u_AA,u_AA,true, Sure same, 200, 6663","i_AD,i_BC,false, Sure different, 275, 4398","i_AD,i_AB,true, Probably same, 350, 5816","u_AD,u_AD,true, Sure same, 425, 4264","u_AA,u_DD,false, Sure different, 500, 4967","d_AD,d_AD,true, Probably same, 575, 8016","i_AA,i_AA,true, Sure same, 650, 4432","n_AD,n_BD,false, Probably different, 188.9, 9109","q_AD,q_AB,true, Probably different, 188.9, 10568","c_AD,c_AD,true, Sure different, 188.9, 4049","n_AA,n_DD,false, Sure different, 188.9, 3183","b_BC,b_AD,false, Sure different, 188.9, 3017","z_AD,z_AD,true, Probably same, 188.9, 7432","b_AD,b_AB,true, Probably different, 188.9, 23284","q_AD,q_BD,false, Probably different, 188.9, 4701","z_AD,z_BC,false, Sure different, 188.9, 4149","n_AA,n_AA,true, Sure same, 188.9, 3284","a_AA,a_DD,false, Sure different, 188.9, 3549","e_AD,e_BD,false, Probably same, 188.9, 4667","c_AD,c_BC,false, Probably different, 188.9, 5284","j_AB,j_AD,true, Probably same, 188.9, 5616","h_AA,h_DD,false, Sure different, 188.9, 4534","b_BD,b_AD,false, Sure different, 188.9, 2800","r_AD,r_AD,true, Probably same, 188.9, 4883","n_BC,n_AD,false, Sure different, 188.9, 3701","a_BC,a_AD,false, Probably same, 188.9, 14350","j_BD,j_AD,false, Sure different, 188.9, 6233","t_AA,t_DD,false, Sure different, 188.9, 4183","j_AD,j_AD,true, Sure same, 188.9, 3917","r_AD,r_BC,false, Sure different, 188.9, 4050","h_BD,h_AD,false, Probably different, 188.9, 6099","c_DD,c_AA,false, Sure different, 188.9, 3451","n_AD,n_AD,true, Sure same, 188.9, 3183","p_DD,p_AA,false, Sure different, 188.9, 3266","e_AA,e_DD,false, Sure different, 188.9, 2951","t_AD,t_AB,true, Probably same, 188.9, 3284","q_AA,q_AA,true, Sure same, 188.9, 4131","h_AA,h_AA,true, Probably same, 188.9, 4903","e_AD,e_AD,true, Probably same, 188.9, 3097","r_AA,r_AA,true, Sure same, 188.9, 3267","r_AD,r_AB,true, Sure same, 188.9, 4635","t_AD,t_AD,true, Probably same, 188.9, 6983","p_AD,p_AD,true, Probably same, 188.9, 3499","","z_AD,z_BD,false, Probably different, 188.9, 5616","a_AD,a_BD,false, Probably same, 188.9, 5817","j_AD,j_BC,false, Sure different, 188.9, 11367","e_AB,e_AD,true, Sure same, 188.9, 3734","h_BC,h_AD,false, Sure different, 188.9, 3699","t_AA,t_AA,true, Sure same, 188.9, 12551","q_AD,q_AD,true, Sure same, 188.9, 3800","p_AD,p_BD,false, Sure different, 188.9, 4217","t_BD,t_AD,false, Sure different, 188.9, 2932","p_AA,p_AA,true, Sure same, 188.9, 3518","b_DD,b_AA,false, Sure different, 188.9, 4115","z_DD,z_AA,false, Sure different, 188.9, 2734","j_AA,j_DD,false, Sure different, 188.9, 2950","p_AD,p_BC,false, Sure different, 188.9, 2716","z_AA,z_AA,true, Sure same, 188.9, 3417","t_AD,t_BC,false, Probably same, 188.9, 5118","q_AA,q_DD,false, Sure different, 188.9, 4016","h_AD,h_AD,true, Probably same, 188.9, 6301","r_AD,r_BD,false, Sure different, 188.9, 3399","r_AA,r_DD,false, Sure different, 188.9, 2650","n_AB,n_AD,true, Probably different, 188.9, 3967","c_AB,c_AD,true, Probably different, 188.9, 5366","q_AD,q_BC,false, Probably same, 188.9, 4933","e_BC,e_AD,false, Probably same, 188.9, 8584","c_AA,c_AA,true, Probably same, 188.9, 2850","p_AD,p_AB,true, Probably different, 188.9, 10350","h_AD,h_AB,true, Sure same, 188.9, 4134","z_AB,z_AD,true, Probably same, 188.9, 3982","a_AA,a_AA,true, Sure same, 188.9, 2818","c_BD,c_AD,false, Probably different, 188.9, 3933","a_AB,a_AD,true, Sure same, 188.9, 3567","a_AD,a_AD,true, Sure same, 188.9, 3566","b_AA,b_AA,true, Probably same, 188.9, 3734","e_AA,e_AA,true, Sure same, 188.9, 2749","j_AA,j_AA,true, Sure same, 188.9, 2934","b_AD,b_AD,true, Sure same, 188.9, 2983","u_AD,u_BD,false, Sure different, 725, 6217","i_AD,i_AD,true, Sure same, 800, 4850","2022-06-17 13:16:58"
"","Letter designer","d_AD,d_BC,false, Sure different, 800, 10305","u_DD,u_AA,false, Sure different, 800, 3798","d_AA,d_DD,false, Sure different, 800, 3426","d_AA,d_AA,true, Probably same, 725, 8463","i_AA,i_DD,false, Sure different, 650, 3297","d_BC,d_AD,false, Sure different, 575, 3263","i_AD,i_BD,false, Sure different, 500, 3201","d_BD,d_AD,false, Sure different, 425, 2944","u_AB,u_AD,true, Sure same, 350, 7456","d_AD,d_AB,true, Sure same, 275, 3000","u_BC,u_AD,false, Probably same, 200, 3744","u_AA,u_AA,true, Sure same, 200, 3104","i_BC,i_AD,false, Sure different, 275, 3040","i_AD,i_AB,true, Sure same, 350, 4288","u_AD,u_AD,true, Sure same, 425, 2841","u_DD,u_AA,false, Sure different, 500, 3191","d_AD,d_AD,true, Sure same, 575, 4936","i_AA,i_AA,true, Sure same, 650, 3616","t_AD,t_AD,true, Probably same, 188.9, 5982","z_AD,z_BC,false, Sure different, 188.9, 2681","q_AA,q_AA,true, Probably same, 188.9, 5055","n_AA,n_DD,false, Sure different, 188.9, 2607","c_AD,c_BD,false, Probably different, 188.9, 3815","q_AA,q_DD,false, Sure different, 188.9, 2615","n_AD,n_BD,false, Sure different, 188.9, 2863","a_AB,a_AD,true, Sure same, 188.9, 4033","a_AD,a_BC,false, Sure same, 188.9, 2712","z_AD,z_AD,true, Sure same, 188.9, 2625","c_BC,c_AD,false, Probably same, 188.9, 5287","z_DD,z_AA,false, Sure different, 188.9, 3975","p_AD,p_AB,true, Probably same, 188.9, 4746","j_AD,j_BD,false, Sure different, 188.9, 3246","r_AD,r_AB,true, Probably same, 188.9, 4281","r_AA,r_AA,true, Sure same, 188.9, 3159","t_BC,t_AD,false, Probably same, 188.9, 4673","b_AD,b_AD,true, Sure same, 188.9, 3391","j_AA,j_AA,true, Sure same, 188.9, 2888","r_AD,r_AD,true, Sure same, 188.9, 2712","p_AD,p_AD,true, Sure same, 188.9, 2601","r_BD,r_AD,false, Probably different, 188.9, 3944","b_AA,b_AA,true, Sure same, 188.9, 3520","r_DD,r_AA,false, Sure different, 188.9, 3088","e_AD,e_BC,false, Sure same, 188.9, 3336","n_AA,n_AA,true, Sure same, 188.9, 3448","b_AB,b_AD,true, Sure same, 188.9, 3280","n_AD,n_AB,true, Probably same, 188.9, 3120","a_DD,a_AA,false, Sure different, 188.9, 2945","h_AB,h_AD,true, Sure same, 188.9, 5135","n_AD,n_AD,true, Sure same, 188.9, 3414","t_AB,t_AD,true, Sure same, 188.9, 2978","q_AD,q_BD,false, Probably same, 188.9, 3312","j_AD,j_AB,true, Sure same, 188.9, 4505","b_AA,b_DD,false, Sure different, 188.9, 2903","z_AB,z_AD,true, Sure same, 188.9, 3128","","j_BC,j_AD,false, Sure different, 188.9, 3521","a_AD,a_AD,true, Sure same, 188.9, 3231","e_AD,e_AD,true, Sure same, 188.9, 2522","e_AA,e_AA,true, Sure same, 188.9, 2518","h_BD,h_AD,false, Sure different, 188.9, 3489","q_AD,q_AD,true, Probably same, 188.9, 3976","n_BC,n_AD,false, Sure different, 188.9, 2584","h_AA,h_DD,false, Sure different, 188.9, 3505","t_DD,t_AA,false, Sure different, 188.9, 2744","p_AA,p_AA,true, Sure same, 188.9, 3447","h_AA,h_AA,true, Probably same, 188.9, 4288","q_AB,q_AD,true, Probably same, 188.9, 3975","c_AA,c_AA,true, Sure same, 188.9, 3177","c_AD,c_AD,true, Sure same, 188.9, 2880","c_DD,c_AA,false, Sure different, 188.9, 2704","j_DD,j_AA,false, Sure different, 188.9, 2680","e_AA,e_DD,false, Sure different, 188.9, 3497","p_AD,p_BC,false, Sure different, 188.9, 2559","q_BC,q_AD,false, Probably different, 188.9, 3921","z_BD,z_AD,false, Sure different, 188.9, 2720","h_BC,h_AD,false, Sure different, 188.9, 3559","b_BC,b_AD,false, Sure different, 188.9, 2641","a_AA,a_AA,true, Sure same, 188.9, 5822","b_BD,b_AD,false, Sure different, 188.9, 2514","c_AB,c_AD,true, Probably same, 188.9, 4040","p_BD,p_AD,false, Sure different, 188.9, 4144","p_AA,p_DD,false, Sure different, 188.9, 3056","t_AA,t_AA,true, Sure same, 188.9, 3120","j_AD,j_AD,true, Sure same, 188.9, 2784","z_AA,z_AA,true, Sure same, 188.9, 3584","h_AD,h_AD,true, Sure same, 188.9, 2601","a_AD,a_BD,false, Sure same, 188.9, 3007","t_BD,t_AD,false, Probably same, 188.9, 3081","e_AB,e_AD,true, Sure same, 188.9, 2687","r_AD,r_BC,false, Sure different, 188.9, 2832","e_AD,e_BD,false, Sure same, 188.9, 2912","u_AD,u_BD,false, Sure different, 725, 3225","i_AD,i_AD,true, Sure same, 800, 4511","2022-06-17 13:13:25"
"","Typographer","d_AD,d_BC,false, Probably same, 800, 22082","u_DD,u_AA,false, Sure different, 800, 4663","d_DD,d_AA,false, Sure different, 800, 3901","d_AA,d_AA,true, Probably different, 725, 5140","i_DD,i_AA,false, Sure different, 650, 3301","d_AD,d_BC,false, Sure different, 575, 3241","i_BD,i_AD,false, Sure different, 500, 3808","d_BD,d_AD,false, Sure different, 425, 2850","u_AD,u_AB,true, Probably same, 350, 6109","d_AD,d_AB,true, Sure same, 275, 3310","u_AD,u_BC,false, Sure different, 200, 3492","u_AA,u_AA,true, Probably same, 200, 4014","i_AD,i_BC,false, Sure different, 275, 3383","i_AB,i_AD,true, Probably different, 350, 4193","u_AD,u_AD,true, Probably different, 425, 3700","u_AA,u_DD,false, Sure different, 500, 3324","d_AD,d_AD,true, Sure different, 575, 3793","i_AA,i_AA,true, Sure different, 650, 3452","h_AD,h_AD,true, Probably same, 383.3, 6674","t_DD,t_AA,false, Sure different, 383.3, 3114","a_AD,a_AD,true, Probably different, 383.3, 3642","c_AD,c_AB,true, Sure same, 383.3, 3871","r_AA,r_AA,true, Sure same, 383.3, 3234","j_AB,j_AD,true, Probably same, 383.3, 3747","j_AD,j_AD,true, Probably same, 383.3, 3380","e_AD,e_AD,true, Probably same, 383.3, 3181","r_AB,r_AD,true, Probably same, 383.3, 3119","j_AD,j_BC,false, Sure different, 383.3, 3406","p_BC,p_AD,false, Sure different, 383.3, 3059","a_DD,a_AA,false, Sure different, 383.3, 2998","n_AD,n_BD,false, Probably different, 383.3, 3734","e_BD,e_AD,false, Probably same, 383.3, 3462","b_DD,b_AA,false, Sure different, 383.3, 3680","b_AD,b_BC,false, Sure different, 383.3, 2867","z_AD,z_BC,false, Sure different, 383.3, 3124","j_BD,j_AD,false, Sure different, 383.3, 2826","a_BC,a_AD,false, Sure different, 383.3, 3401","q_AD,q_BD,false, Probably same, 383.3, 3842","e_DD,e_AA,false, Sure different, 383.3, 3582","e_AA,e_AA,true, Sure same, 383.3, 4156","h_BC,h_AD,false, Sure different, 383.3, 3219","r_AD,r_AD,true, Sure same, 383.3, 6251","e_AB,e_AD,true, Sure same, 383.3, 2889","b_AD,b_AD,true, Probably different, 383.3, 4259","z_AA,z_AA,true, Sure same, 383.3, 3684","r_BD,r_AD,false, Sure different, 383.3, 3767","a_AA,a_AA,true, Probably different, 383.3, 4040","j_DD,j_AA,false, Sure different, 383.3, 3149","p_AD,p_AD,true, Probably different, 383.3, 3701","c_BD,c_AD,false, Sure different, 383.3, 2901","n_AD,n_AD,true, Probably different, 383.3, 3233","n_AB,n_AD,true, Sure same, 383.3, 3755","p_DD,p_AA,false, Sure different, 383.3, 3647","n_AA,n_AA,true, Probably same, 383.3, 5256","","c_AA,c_AA,true, Sure same, 383.3, 3170","a_AB,a_AD,true, Sure same, 383.3, 2949","q_AD,q_BC,false, Sure different, 383.3, 4634","a_BD,a_AD,false, Sure different, 383.3, 3315","b_AA,b_AA,true, Sure same, 383.3, 4024","b_AB,b_AD,true, Sure same, 383.3, 3285","r_DD,r_AA,false, Sure different, 383.3, 3089","p_AA,p_AA,true, Sure same, 383.3, 3577","c_AD,c_AD,true, Sure same, 383.3, 2933","z_AD,z_AD,true, Sure same, 383.3, 2691","c_BC,c_AD,false, Sure different, 383.3, 3458","e_BC,e_AD,false, Sure same, 383.3, 3684","h_AD,h_AB,true, Sure same, 383.3, 4204","n_DD,n_AA,false, Sure different, 383.3, 5403","h_AA,h_DD,false, Sure different, 383.3, 3219","p_AD,p_BD,false, Sure different, 383.3, 3608","h_AA,h_AA,true, Sure same, 383.3, 3320","z_AA,z_DD,false, Sure different, 383.3, 3569","q_AA,q_AA,true, Probably same, 383.3, 4136","r_AD,r_BC,false, Probably different, 383.3, 4423","c_DD,c_AA,false, Sure different, 383.3, 3645","t_AB,t_AD,true, Sure same, 383.3, 3936","z_BD,z_AD,false, Sure different, 383.3, 3010","h_AD,h_BD,false, Sure different, 383.3, 3162","q_DD,q_AA,false, Sure different, 383.3, 3046","t_AA,t_AA,true, Sure different, 383.3, 3334","b_AD,b_BD,false, Sure different, 383.3, 2951","p_AD,p_AB,true, Sure different, 383.3, 3358","q_AD,q_AD,true, Sure same, 383.3, 3382","z_AB,z_AD,true, Sure same, 383.3, 2704","q_AB,q_AD,true, Sure same, 383.3, 2699","t_BD,t_AD,false, Sure same, 383.3, 2866","j_AA,j_AA,true, Probably same, 383.3, 3450","t_AD,t_AD,true, Sure different, 383.3, 3886","n_BC,n_AD,false, Sure different, 383.3, 3150","t_AD,t_BC,false, Probably different, 383.3, 3311","u_BD,u_AD,false, Sure different, 725, 3346","i_AD,i_AD,true, Probably different, 800, 3827","2022-06-17 12:59:26"
