StudyID,ParticipantID,Composite pair,Congruent pair,TestID,TrialID,Training,isDesigner,First,Second,Same,Response,Correct,ET,RT,RTnorm,Date,Correctnorm,AUC,AUCnorm
Main,7,False,False,1,12,Letter designer,True,q_DD,q_AA,False,Probably same,0.9166666666666666,188.9,3063.0833333333335,8.017228290223104,2022-06-05 20:33:21,2.555907110132642,0.0,0.0
Main,7,False,True,1,12,Letter designer,True,a_AA,a_AA,True,Sure same,1.0,188.9,2942.75,7.982908869190507,2022-06-05 20:33:21,3.141592653589793,0.0,0.0
Main,7,True,False,1,36,Letter designer,True,a_BC,a_AD,False,Probably different,0.7777777777777778,188.9,3338.1944444444443,8.085529787375803,2022-06-05 20:33:21,2.1598272970111707,0.8709677419354839,2.40674884435019
Main,7,True,True,1,12,Letter designer,True,a_AD,a_AD,True,Sure same,0.9166666666666666,188.9,3090.1666666666665,8.032165756792276,2022-06-05 20:33:21,2.555907110132642,0.0,0.0
Main,8,False,False,1,12,Non-designer,False,p_DD,p_AA,False,Sure different,1.0,422.2,3996.25,8.289811409476185,2022-06-05 20:08:14,3.141592653589793,0.0,0.0
Main,8,False,True,1,12,Non-designer,False,b_AA,b_AA,True,Probably same,0.9166666666666666,422.2,4755.666666666667,8.437163294886133,2022-06-05 20:08:14,2.555907110132642,0.0,0.0
Main,8,True,False,1,36,Non-designer,False,q_AD,q_BC,False,Sure same,0.5277777777777778,422.2,4618.666666666667,8.402383907366819,2022-06-05 20:08:14,1.626380500075814,0.6021505376344086,1.7765459967820387
Main,8,True,True,1,12,Non-designer,False,c_AD,c_AD,True,Probably different,0.9166666666666666,422.2,4521.75,8.402530080831417,2022-06-05 20:08:14,2.555907110132642,0.0,0.0
Main,9,False,False,1,12,Graphic designer,True,h_AA,h_DD,False,Sure different,0.9166666666666666,188.9,3350.9166666666665,8.097707356018153,2022-06-05 19:31:27,2.555907110132642,0.0,0.0
Main,9,False,True,1,12,Graphic designer,True,t_AA,t_AA,True,Sure same,0.9166666666666666,188.9,3056.3333333333335,8.007662325055938,2022-06-05 19:31:27,2.555907110132642,0.0,0.0
Main,9,True,False,1,36,Graphic designer,True,p_AD,p_BC,False,Sure different,0.6944444444444444,188.9,4093.0555555555557,8.26836330859653,2022-06-05 19:31:27,1.9702215666754914,0.8688172043010753,2.4003564071396317
Main,9,True,True,1,12,Graphic designer,True,a_AD,a_AD,True,Sure same,1.0,188.9,3503.9166666666665,8.115654779818414,2022-06-05 19:31:27,3.141592653589793,0.0,0.0
Main,10,False,False,1,12,Graphic designer,True,r_AA,r_DD,False,Sure different,0.8333333333333334,150.0,2387.4166666666665,7.768012115734758,2022-06-05 19:29:54,2.300523983021863,0.0,0.0
Main,10,False,True,1,12,Graphic designer,True,r_AA,r_AA,True,Sure different,0.75,150.0,2532.0833333333335,7.828695755460889,2022-06-05 19:29:54,2.0943951023931953,0.0,0.0
Main,10,True,False,1,36,Graphic designer,True,e_AD,e_BD,False,Sure same,0.6944444444444444,150.0,3041.1666666666665,7.936389226178493,2022-06-05 19:29:54,1.9702215666754914,0.789247311827957,2.18767827337017
Main,10,True,True,1,12,Graphic designer,True,e_AD,e_AD,True,Sure same,0.6666666666666666,150.0,2647.4166666666665,7.854895836019039,2022-06-05 19:29:54,1.9106332362490186,0.0,0.0
