"Designer","GreekLatin","practice_1","practice_2","practice_3","practice_4","practice_5","practice_6","practice_7","practice_8","practice_9","practice_10","practice_11","practice_12","practice_13","practice_14","practice_15","practice_16","practice_17","practice_18","practice_19","practice_20","main_1","main_2","main_3","main_4","main_5","main_6","main_7","main_8","main_9","main_10","main_11","main_12","main_13","main_14","main_15","main_16","main_17","main_18","main_19","main_20","main_21","main_22","main_23","main_24","main_25","main_26","main_27","main_28","main_29","main_30","main_31","main_32","main_33","main_34","main_35","main_36","main_37","main_38","main_39","main_40","main_41","main_42","main_43","main_44","main_45","main_46","main_47","main_48","main_49","main_50","main_51","main_52","main_53","main_54","main_55","main_56","main_57","main_58","main_59","main_60","main_61","main_62","main_63","main_64","main_65","main_66","main_67","main_68","main_69","main_70","main_71","main_72","submissionDate"
"Non-designer","Both equally","d_BC,d_AD,false, Sure same, 800, 10457","u_AA,u_DD,false, Sure different, 800, 4640","d_AA,d_DD,false, Sure different, 800, 3488","d_AA,d_AA,true, Sure same, 725, 4168","i_AA,i_DD,false, Sure different, 650, 3983","d_AD,d_BC,false, Sure different, 575, 4680","i_AD,i_BD,false, Probably same, 500, 5776","d_AD,d_BD,false, Sure different, 425, 3448","u_AB,u_AD,true, Sure different, 350, 2912","d_AD,d_AB,true, Sure same, 275, 4048","u_AD,u_BC,false, Sure same, 200, 3056","u_AA,u_AA,true, Sure same, 200, 2776","i_AD,i_BC,false, Sure same, 275, 3264","i_AB,i_AD,true, Probably same, 350, 3080","u_AD,u_AD,true, Sure same, 425, 3232","u_DD,u_AA,false, Sure different, 500, 2968","d_AD,d_AD,true, Probably same, 575, 4800","i_AA,i_AA,true, Sure same, 650, 3408","u_BD,u_AD,false, Probably different, 725, 6160","i_AD,i_AD,true, Sure same, 800, 3936","q_AD,q_BD,false, Probably same, 305.6, 5900","z_AD,z_BC,false, Sure different, 305.6, 3432","t_AB,t_AD,true, Sure same, 305.6, 3200","p_AA,p_AA,true, Sure same, 305.6, 2897","h_BD,h_AD,false, Probably different, 305.6, 4719","c_AB,c_AD,true, Sure same, 305.6, 2920","n_BD,n_AD,false, Sure same, 305.6, 2680","z_AA,z_DD,false, Sure different, 305.6, 2824","c_AA,c_AA,true, Sure same, 305.6, 2757","c_AD,c_BC,false, Sure same, 305.6, 2659","h_AD,h_BC,false, Sure different, 305.6, 3416","r_AA,r_AA,true, Sure same, 305.6, 2928","h_AB,h_AD,true, Sure same, 305.6, 2504","h_AA,h_AA,true, Sure same, 305.6, 2456","z_AA,z_AA,true, Sure same, 305.6, 2600","t_AA,t_AA,true, Sure same, 305.6, 2584","h_AA,h_DD,false, Sure different, 305.6, 2832","j_AD,j_BC,false, Sure different, 305.6, 3632","z_BD,z_AD,false, Sure different, 305.6, 2824","t_BD,t_AD,false, Sure same, 305.6, 3048","e_DD,e_AA,false, Sure different, 305.6, 3296","e_AB,e_AD,true, Sure different, 305.6, 2519","b_DD,b_AA,false, Sure different, 305.6, 3049","e_BD,e_AD,false, Sure different, 305.6, 2808","p_AA,p_DD,false, Sure different, 305.6, 2824","e_AA,e_AA,true, Sure same, 305.6, 3232","r_AD,r_AD,true, Sure same, 305.6, 2832","r_AD,r_AB,true, Sure same, 305.6, 2750","a_BC,a_AD,false, Probably different, 305.6, 5842","z_AD,z_AD,true, Sure same, 305.6, 3183","a_AA,a_AA,true, Sure same, 305.6, 2608","z_AB,z_AD,true, Sure same, 305.6, 2672","b_AA,b_AA,true, Sure same, 305.6, 2905","n_AD,n_AD,true, Sure same, 305.6, 2760","b_AD,b_AD,true, Sure same, 305.6, 2531","a_AB,a_AD,true, Sure same, 305.6, 3612","c_AD,c_AD,true, Sure same, 305.6, 2504","t_AD,t_AD,true, Sure same, 305.6, 3128","n_DD,n_AA,false, Sure different, 305.6, 2633","j_AA,j_DD,false, Sure different, 305.6, 3185","q_AB,q_AD,true, Sure same, 305.6, 3670","t_BC,t_AD,false, Sure same, 305.6, 2800","j_AB,j_AD,true, Probably different, 305.6, 6392","j_AD,j_BD,false, Sure different, 305.6, 2760","c_AA,c_DD,false, Sure different, 305.6, 3032","p_BC,p_AD,false, Sure different, 305.6, 3792","q_DD,q_AA,false, Sure different, 305.6, 2720","n_AD,n_AB,true, Probably same, 305.6, 4984","c_AD,c_BD,false, Sure same, 305.6, 2792","r_AA,r_DD,false, Sure different, 305.6, 2888","h_AD,h_AD,true, Sure same, 305.6, 5048","q_AA,q_AA,true, Sure same, 305.6, 3136","b_AD,b_BD,false, Sure different, 305.6, 2816","b_AD,b_AB,true, Sure same, 305.6, 3305","e_AD,e_AD,true, Sure same, 305.6, 2807","n_AA,n_AA,true, Sure same, 305.6, 2680","p_AD,p_AD,true, Probably same, 305.6, 3177","r_AD,r_BD,false, Sure different, 305.6, 2864","j_AA,j_AA,true, Sure same, 305.6, 3847","p_AD,p_BD,false, Sure different, 305.6, 3144","a_AD,a_AD,true, Sure same, 305.6, 3200","t_DD,t_AA,false, Sure different, 305.6, 2776","b_AD,b_BC,false, Sure different, 305.6, 2752","q_AD,q_AD,true, Probably different, 305.6, 4016","n_AD,n_BC,false, Sure different, 305.6, 2936","a_BD,a_AD,false, Sure different, 305.6, 3480","a_DD,a_AA,false, Sure different, 305.6, 2552","j_AD,j_AD,true, Probably same, 305.6, 5704","r_BC,r_AD,false, Sure different, 305.6, 2816","p_AB,p_AD,true, Sure same, 305.6, 3232","e_BC,e_AD,false, Sure same, 305.6, 2768","q_BC,q_AD,false, Sure same, 305.6, 6080","2022-06-27 05:11:25"
"Non-designer","Both equally","d_BC,d_AD,false, Probably same, 800, 18429","u_DD,u_AA,false, Probably same, 800, 6759","d_DD,d_AA,false, Probably different, 800, 5650","d_AA,d_AA,true, Probably same, 725, 5355","i_DD,i_AA,false, Sure different, 650, 5267","d_AD,d_BC,false, Sure different, 575, 3781","i_BD,i_AD,false, Sure different, 500, 3280","d_AD,d_BD,false, Sure different, 425, 2707","u_AB,u_AD,true, Sure same, 350, 4409","d_AD,d_AB,true, Sure same, 275, 2853","u_BC,u_AD,false, Sure different, 200, 3283","u_AA,u_AA,true, Sure same, 200, 2989","i_BC,i_AD,false, Sure different, 275, 3712","i_AB,i_AD,true, Sure same, 350, 3460","u_AD,u_AD,true, Sure same, 425, 4062","u_AA,u_DD,false, Sure different, 500, 3532","d_AD,d_AD,true, Sure same, 575, 3802","i_AA,i_AA,true, Sure same, 650, 3804","u_BD,u_AD,false, Sure different, 725, 3770","i_AD,i_AD,true, Sure same, 800, 3890","n_BC,n_AD,false, Sure same, 150, 6528","b_AD,b_BC,false, Sure same, 150, 3041","e_DD,e_AA,false, Sure same, 150, 2858","z_AD,z_AD,true, Sure same, 150, 2829","e_AD,e_AD,true, Sure same, 150, 2999","t_DD,t_AA,false, Sure same, 150, 2871","c_BC,c_AD,false, Sure same, 150, 2914","q_AD,q_BD,false, Sure same, 150, 2751","p_AD,p_BD,false, Sure same, 150, 2910","a_AD,a_AD,true, Sure same, 150, 2544","j_AD,j_AD,true, Sure same, 150, 2393","t_AD,t_AB,true, Sure same, 150, 2442","p_BC,p_AD,false, Sure same, 150, 2748","r_AA,r_AA,true, Sure same, 150, 2252","b_BD,b_AD,false, Sure same, 150, 2640","q_AB,q_AD,true, Sure same, 150, 2370","n_AD,n_AD,true, Sure same, 150, 2419","r_AD,r_BC,false, Sure same, 150, 2550","n_AD,n_BD,false, Sure same, 150, 2367","a_AB,a_AD,true, Sure same, 150, 2380","z_AA,z_AA,true, Sure same, 150, 2236","p_AA,p_AA,true, Sure same, 150, 2262","p_AA,p_DD,false, Sure different, 150, 2973","q_AA,q_DD,false, Sure different, 150, 4184","c_BD,c_AD,false, Sure same, 150, 2502","p_AB,p_AD,true, Sure same, 150, 2846","h_AD,h_AD,true, Sure same, 150, 2867","z_AD,z_AB,true, Sure same, 150, 2157","n_DD,n_AA,false, Sure different, 150, 2994","e_AD,e_BC,false, Sure same, 150, 2814","r_AD,r_AB,true, Sure same, 150, 2692","n_AA,n_AA,true, Sure same, 150, 4276","t_BD,t_AD,false, Sure different, 150, 2969","t_AD,t_AD,true, Sure same, 150, 3117","h_DD,h_AA,false, Sure different, 150, 2928","h_AA,h_AA,true, Sure same, 150, 2380","q_AA,q_AA,true, Sure same, 150, 2877","j_AA,j_DD,false, Sure same, 150, 2369","j_AD,j_BC,false, Sure different, 150, 2796","r_BD,r_AD,false, Sure different, 150, 3102","c_AD,c_AD,true, Sure same, 150, 2278","b_AA,b_DD,false, Sure different, 150, 2874","z_DD,z_AA,false, Sure different, 150, 2816","b_AD,b_AB,true, Sure same, 150, 2401","b_AA,b_AA,true, Sure same, 150, 3066","n_AD,n_AB,true, Sure same, 150, 2884","c_AD,c_AB,true, Sure same, 150, 2431","p_AD,p_AD,true, Sure different, 150, 2589","j_AD,j_BD,false, Sure same, 150, 2580","e_AA,e_AA,true, Sure same, 150, 2024","r_DD,r_AA,false, Sure different, 150, 2730","z_BC,z_AD,false, Sure different, 150, 3091","t_AA,t_AA,true, Sure same, 150, 2875","h_AD,h_BC,false, Sure different, 150, 2814","q_AD,q_AD,true, Probably same, 150, 4869","c_DD,c_AA,false, Probably different, 150, 3888","q_BC,q_AD,false, Probably different, 150, 2691","e_AD,e_BD,false, Sure same, 150, 2627","a_BC,a_AD,false, Sure same, 150, 3125","a_DD,a_AA,false, Sure different, 150, 2886","h_BD,h_AD,false, Sure different, 150, 2720","r_AD,r_AD,true, Sure different, 150, 2695","e_AD,e_AB,true, Sure same, 150, 2421","b_AD,b_AD,true, Sure same, 150, 2614","j_AA,j_AA,true, Sure same, 150, 2414","t_BC,t_AD,false, Sure same, 150, 2805","h_AB,h_AD,true, Sure same, 150, 2519","j_AD,j_AB,true, Sure same, 150, 2614","c_AA,c_AA,true, Sure same, 150, 2375","a_BD,a_AD,false, Sure same, 150, 2506","z_AD,z_BD,false, Sure same, 150, 2368","a_AA,a_AA,true, Sure same, 150, 3018","2022-06-16 21:49:53"
"Graphic designer","Mostly Greek","d_BC,d_AD,false, Sure same, 800, 19943","u_DD,u_AA,false, Sure different, 800, 4892","d_DD,d_AA,false, Sure different, 800, 4331","d_AA,d_AA,true, Sure same, 725, 4491","i_AA,i_DD,false, Sure different, 650, 4263","d_AD,d_BC,false, Probably same, 575, 4610","i_AD,i_BD,false, Probably same, 500, 3434","d_AD,d_BD,false, Probably same, 425, 3742","u_AD,u_AB,true, Probably same, 350, 3515","d_AB,d_AD,true, Probably same, 275, 3707","u_AD,u_BC,false, Probably same, 200, 4388","u_AA,u_AA,true, Probably same, 200, 2898","i_AD,i_BC,false, Probably same, 275, 3358","i_AB,i_AD,true, Probably same, 350, 2938","u_AD,u_AD,true, Probably same, 425, 3106","u_AA,u_DD,false, Probably different, 500, 3433","d_AD,d_AD,true, Probably same, 575, 4061","i_AA,i_AA,true, Probably same, 650, 3665","u_BD,u_AD,false, Sure different, 725, 4103","i_AD,i_AD,true, Sure same, 800, 3867","z_DD,z_AA,false, Sure same, 344.4, 7846","t_BD,t_AD,false, Sure same, 344.4, 3399","b_BD,b_AD,false, Sure different, 344.4, 3176","n_BC,n_AD,false, Sure different, 344.4, 3548","t_AD,t_BC,false, Sure same, 344.4, 3490","b_AA,b_DD,false, Sure different, 344.4, 3298","j_AD,j_AD,true, Sure different, 344.4, 3078","t_AD,t_AD,true, Probably different, 344.4, 3592","b_AB,b_AD,true, Probably different, 344.4, 3249","q_DD,q_AA,false, Probably different, 344.4, 4433","q_AD,q_BC,false, Sure same, 344.4, 3604","e_BC,e_AD,false, Sure same, 344.4, 3194","h_AB,h_AD,true, Sure different, 344.4, 3593","h_AD,h_BC,false, Sure same, 344.4, 3391","n_AA,n_AA,true, Sure same, 344.4, 3375","r_AA,r_AA,true, Sure same, 344.4, 3339","a_DD,a_AA,false, Sure different, 344.4, 6107","a_AB,a_AD,true, Sure same, 344.4, 3178","p_AD,p_BD,false, Sure same, 344.4, 3408","q_BD,q_AD,false, Sure same, 344.4, 3554","h_AD,h_BD,false, Sure same, 344.4, 4771","n_AA,n_DD,false, Sure different, 344.4, 3161","p_AA,p_DD,false, Sure different, 344.4, 3270","j_AD,j_AB,true, Sure different, 344.4, 3137","p_AD,p_AB,true, Sure same, 344.4, 3398","z_BD,z_AD,false, Probably different, 344.4, 3766","e_AD,e_BD,false, Probably same, 344.4, 3304","h_AA,h_DD,false, Probably different, 344.4, 3532","r_AD,r_AD,true, Probably different, 344.4, 3267","a_AD,a_BC,false, Probably different, 344.4, 3146","a_AD,a_AD,true, Probably same, 344.4, 3384","h_AA,h_AA,true, Probably same, 344.4, 3289","c_AA,c_AA,true, Probably same, 344.4, 3288","c_AD,c_AB,true, Probably different, 344.4, 3571","e_DD,e_AA,false, Sure different, 344.4, 3626","t_DD,t_AA,false, Sure different, 344.4, 3416","b_AA,b_AA,true, Sure different, 344.4, 3008","e_AD,e_AD,true, Sure same, 344.4, 3249","q_AA,q_AA,true, Sure same, 344.4, 3198","j_DD,j_AA,false, Sure different, 344.4, 2944","n_AD,n_AD,true, Sure same, 344.4, 3266","p_AD,p_AD,true, Sure same, 344.4, 3092","b_AD,b_AD,true, Sure same, 344.4, 3464","c_AD,c_AD,true, Sure different, 344.4, 3569","c_AD,c_BC,false, Sure different, 344.4, 3317","b_BC,b_AD,false, Sure different, 344.4, 2990","t_AD,t_AB,true, Sure different, 344.4, 2974","n_AD,n_AB,true, Sure same, 344.4, 3167","r_AD,r_BC,false, Sure same, 344.4, 3196","z_AA,z_AA,true, Sure same, 344.4, 4973","a_BD,a_AD,false, Probably different, 344.4, 3456","j_BC,j_AD,false, Probably different, 344.4, 3223","p_BC,p_AD,false, Probably same, 344.4, 3495","q_AD,q_AD,true, Probably same, 344.4, 3369","z_AD,z_BC,false, Probably different, 344.4, 3441","j_AA,j_AA,true, Probably same, 344.4, 3765","e_AB,e_AD,true, Probably same, 344.4, 3189","a_AA,a_AA,true, Probably same, 344.4, 3478","h_AD,h_AD,true, Probably same, 344.4, 3187","n_BD,n_AD,false, Probably same, 344.4, 3149","t_AA,t_AA,true, Probably same, 344.4, 3379","c_AD,c_BD,false, Probably same, 344.4, 3196","r_AD,r_AB,true, Probably same, 344.4, 3169","r_AA,r_DD,false, Probably different, 344.4, 3280","z_AD,z_AB,true, Probably different, 344.4, 3184","c_AA,c_DD,false, Probably different, 344.4, 3582","r_AD,r_BD,false, Probably different, 344.4, 3229","z_AD,z_AD,true, Probably different, 344.4, 3484","e_AA,e_AA,true, Probably different, 344.4, 3365","q_AB,q_AD,true, Probably different, 344.4, 3207","p_AA,p_AA,true, Probably different, 344.4, 3654","j_BD,j_AD,false, Probably same, 344.4, 3223","2022-06-16 19:45:20"
"Non-designer","Both equally","d_AD,d_BC,false, Probably same, 800, 13487","u_AA,u_DD,false, Sure different, 800, 5390","d_AA,d_DD,false, Probably different, 800, 4210","d_AA,d_AA,true, Probably different, 725, 3825","i_AA,i_DD,false, Sure different, 650, 3705","d_BC,d_AD,false, Sure different, 575, 3460","i_BD,i_AD,false, Sure same, 500, 3954","d_BD,d_AD,false, Sure same, 425, 3085","u_AB,u_AD,true, Probably different, 350, 3298","d_AD,d_AB,true, Probably same, 275, 2961","u_BC,u_AD,false, Probably different, 200, 3051","u_AA,u_AA,true, Probably different, 200, 3109","i_BC,i_AD,false, Sure different, 275, 2711","i_AB,i_AD,true, Sure same, 350, 3544","u_AD,u_AD,true, Probably same, 425, 3337","u_AA,u_DD,false, Sure different, 500, 3123","d_AD,d_AD,true, Sure same, 575, 3675","i_AA,i_AA,true, Sure same, 650, 3305","u_BD,u_AD,false, Sure different, 725, 4033","i_AD,i_AD,true, Sure same, 800, 3508","c_AD,c_BD,false, Sure same, 344.4, 5120","a_AA,a_DD,false, Probably different, 344.4, 2924","q_AD,q_AD,true, Sure different, 344.4, 2824","r_AD,r_BC,false, Sure same, 344.4, 3885","a_AD,a_AD,true, Sure same, 344.4, 2755","c_DD,c_AA,false, Sure different, 344.4, 2866","a_AA,a_AA,true, Probably same, 344.4, 3095","e_BD,e_AD,false, Sure same, 344.4, 2716","r_DD,r_AA,false, Probably different, 344.4, 3063","n_AD,n_AB,true, Sure different, 344.4, 2906","b_AA,b_AA,true, Sure different, 344.4, 3331","r_AD,r_BD,false, Probably different, 344.4, 3053","q_AA,q_AA,true, Sure same, 344.4, 3095","t_AD,t_BD,false, Sure same, 344.4, 3021","j_AD,j_AD,true, Sure same, 344.4, 2610","c_AA,c_AA,true, Sure same, 344.4, 2520","h_AD,h_BC,false, Probably different, 344.4, 3080","p_BD,p_AD,false, Probably same, 344.4, 3723","h_AA,h_DD,false, Probably same, 344.4, 3337","r_AD,r_AD,true, Probably same, 344.4, 2761","e_AD,e_BC,false, Probably same, 344.4, 4098","j_BC,j_AD,false, Probably same, 344.4, 2903","a_AD,a_AB,true, Probably different, 344.4, 2916","e_AD,e_AD,true, Sure same, 344.4, 3712","p_AD,p_BC,false, Sure same, 344.4, 3107","q_AD,q_BC,false, Probably same, 344.4, 3218","t_AB,t_AD,true, Sure same, 344.4, 3181","z_AD,z_AD,true, Sure same, 344.4, 3035","t_AD,t_AD,true, Sure same, 344.4, 2962","p_DD,p_AA,false, Probably different, 344.4, 7439","b_AD,b_BC,false, Probably same, 344.4, 3171","c_AD,c_AB,true, Probably different, 344.4, 3121","n_AD,n_BC,false, Sure same, 344.4, 3119","r_AA,r_AA,true, Sure same, 344.4, 2969","j_AA,j_AA,true, Probably different, 344.4, 3041","n_AA,n_AA,true, Probably same, 344.4, 3081","h_AD,h_AD,true, Probably same, 344.4, 2911","z_AA,z_AA,true, Sure same, 344.4, 3160","q_DD,q_AA,false, Sure different, 344.4, 3379","t_AA,t_DD,false, Sure different, 344.4, 3077","j_BD,j_AD,false, Sure different, 344.4, 3060","n_AD,n_BD,false, Sure different, 344.4, 2723","n_AD,n_AD,true, Probably same, 344.4, 3002","p_AB,p_AD,true, Probably same, 344.4, 2960","z_AD,z_BD,false, Sure same, 344.4, 2863","z_AD,z_AB,true, Sure same, 344.4, 2726","e_AA,e_AA,true, Sure same, 344.4, 2666","z_DD,z_AA,false, Sure different, 344.4, 2969","b_AB,b_AD,true, Sure same, 344.4, 3811","b_BD,b_AD,false, Sure same, 344.4, 2982","c_AD,c_AD,true, Probably different, 344.4, 3454","r_AD,r_AB,true, Probably same, 344.4, 3751","j_AB,j_AD,true, Probably different, 344.4, 2964","h_AB,h_AD,true, Probably different, 344.4, 3261","q_BD,q_AD,false, Probably same, 344.4, 3535","a_AD,a_BD,false, Sure same, 344.4, 2789","j_AA,j_DD,false, Probably different, 344.4, 2876","t_AA,t_AA,true, Probably same, 344.4, 2844","p_AA,p_AA,true, Probably different, 344.4, 2743","b_AD,b_AD,true, Probably same, 344.4, 2879","a_AD,a_BC,false, Sure same, 344.4, 2651","t_BC,t_AD,false, Probably different, 344.4, 3054","e_AA,e_DD,false, Probably same, 344.4, 3254","q_AD,q_AB,true, Probably same, 344.4, 3215","n_DD,n_AA,false, Sure different, 344.4, 3048","h_AA,h_AA,true, Sure same, 344.4, 3811","c_AD,c_BC,false, Probably different, 344.4, 2969","e_AB,e_AD,true, Sure same, 344.4, 2825","z_BC,z_AD,false, Sure different, 344.4, 2941","b_AA,b_DD,false, Sure same, 344.4, 3728","p_AD,p_AD,true, Probably same, 344.4, 2947","h_BD,h_AD,false, Probably same, 344.4, 2986","2022-06-16 15:55:48"
